"Age","Gender","Education","Country","Ethnicity","Nscore2","Escore2","Cscore2","Alcohol2","Cannabis2","Nicotine2","Opioid","Ascore2","Oscore2"
"35-44","Female","Some college or university, no certificate or degree","UK","White",36,40,44,"Used","Never Used","Never Used","Never Used",43,34
"25-34","Female","University degree","UK","White",30,44,47,"Used","Never Used","Never Used","Never Used",45,32
"45-54","Male","Left school at 18 years","UK","White",38,44,39,"Used","Used","Used","Never Used",40,46
"45-54","Male","University degree","UK","White",31,31,41,"Used","Never Used","Never Used","Never Used",32,37
"25-34","Female","Doctorate degree","UK","White",49,42,40,"Used","Never Used","Used","Never Used",41,48
"45-54","Male","Masters degree","UK","Asian",18,50,50,"Used","Used","Never Used","Never Used",44,54
"25-34","Male","University degree","UK","White",30,30,45,"Used","Never Used","Used","Never Used",34,33
"45-54","Male","University degree","UK","White",46,38,42,"Used","Never Used","Never Used","Never Used",39,41
"45-54","Male","Doctorate degree","UK","White",22,43,48,"Used","Used","Used","Never Used",40,53
"35-44","Male","Some college or university, no certificate or degree","UK","White",43,43,46,"Used","Never Used","Never Used","Never Used",50,40
"45-54","Male","Left school at 16 years","UK","White",26,35,45,"Used","Never Used","Never Used","Never Used",51,38
"25-34","Male","Masters degree","UK","White",32,38,41,"Used","Used","Used","Never Used",37,53
"35-44","Male","Professional certificate/ diploma","Other","White",27,40,40,"Used","Used","Used","Never Used",42,48
"45-54","Female","Left school at 16 years","UK","White",35,35,42,"Used","Never Used","Used","Never Used",45,34
"25-34","Male","Some college or university, no certificate or degree","UK","White",32,38,40,"Used","Used","Used","Never Used",30,47
"45-54","Female","Left school at 18 years","Canada","White",31,47,43,"Used","Used","Used","Never Used",50,44
"45-54","Male","Left school at 18 years","UK","White",22,46,48,"Used","Used","Used","Never Used",46,46
"45-54","Male","Professional certificate/ diploma","UK","White",29,36,49,"Used","Never Used","Used","Never Used",45,44
"65+","Female","Left school at 16 years","UK","White",25,27,44,"Used","Never Used","Used","Never Used",33,26
"25-34","Male","University degree","UK","White",34,41,39,"Used","Used","Never Used","Never Used",38,35
"45-54","Female","Left school at 17 years","Canada","White",32,35,46,"Used","Never Used","Used","Never Used",46,35
"35-44","Male","University degree","UK","White",37,28,39,"Used","Used","Used","Never Used",35,42
"35-44","Male","Some college or university, no certificate or degree","UK","White",28,34,25,"Used","Used","Used","Never Used",32,31
"35-44","Male","Professional certificate/ diploma","UK","White",32,34,37,"Used","Never Used","Used","Never Used",50,32
"65+","Female","Doctorate degree","Canada","White",36,42,51,"Used","Used","Never Used","Never Used",42,49
"55-64","Female","University degree","UK","White",28,31,41,"Used","Used","Used","Used",37,46
"55-64","Male","Masters degree","Canada","White",19,49,51,"Used","Never Used","Never Used","Never Used",47,39
"55-64","Female","Left school at 17 years","UK","Mixed-White/Black",46,33,29,"Used","Used","Used","Never Used",52,38
"45-54","Male","Left school at 16 years","UK","White",32,41,41,"Used","Used","Never Used","Never Used",41,44
"25-34","Female","Left school at 18 years","UK","White",31,40,45,"Used","Used","Used","Never Used",44,35
"35-44","Male","Some college or university, no certificate or degree","UK","White",43,39,41,"Used","Used","Used","Never Used",44,38
"55-64","Male","Left school at 16 years","UK","White",27,41,44,"Used","Used","Never Used","Never Used",41,43
"35-44","Female","Some college or university, no certificate or degree","UK","White",39,26,38,"Used","Used","Used","Never Used",38,36
"35-44","Female","Masters degree","UK","White",45,36,40,"Used","Never Used","Never Used","Never Used",39,48
"35-44","Female","Masters degree","UK","White",49,42,36,"Used","Used","Used","Never Used",45,51
"35-44","Male","Professional certificate/ diploma","Canada","White",40,37,47,"Used","Used","Used","Never Used",45,51
"25-34","Male","Left school at 18 years","UK","White",22,38,42,"Used","Used","Used","Never Used",45,43
"65+","Female","Left school at 16 years","UK","White",34,34,45,"Used","Never Used","Never Used","Never Used",48,39
"45-54","Male","Masters degree","UK","White",29,36,41,"Used","Used","Used","Never Used",47,39
"45-54","Male","Masters degree","UK","White",31,42,49,"Used","Used","Used","Never Used",32,53
"35-44","Female","University degree","Canada","White",37,32,47,"Used","Used","Used","Never Used",42,48
"45-54","Female","Masters degree","UK","White",31,44,33,"Used","Used","Used","Never Used",39,44
"35-44","Male","Doctorate degree","Canada","White",25,37,48,"Used","Used","Used","Never Used",39,46
"25-34","Female","University degree","UK","White",29,58,52,"Used","Used","Used","Never Used",49,51
"25-34","Male","Masters degree","Other","White",26,55,39,"Used","Used","Never Used","Never Used",33,50
"45-54","Female","Left school at 16 years","Australia","White",30,43,48,"Used","Used","Used","Never Used",42,34
"45-54","Male","Left school at 18 years","UK","White",30,48,42,"Used","Used","Used","Never Used",34,55
"45-54","Female","Professional certificate/ diploma","Canada","White",36,44,43,"Used","Never Used","Never Used","Never Used",41,44
"25-34","Female","Some college or university, no certificate or degree","Canada","White",27,41,46,"Used","Used","Used","Never Used",50,45
"35-44","Male","Professional certificate/ diploma","UK","White",18,43,54,"Used","Never Used","Never Used","Never Used",38,33
"25-34","Female","Some college or university, no certificate or degree","UK","White",46,38,39,"Used","Never Used","Never Used","Never Used",45,33
"35-44","Female","Left school at 16 years","UK","White",37,40,46,"Used","Never Used","Used","Never Used",38,37
"25-34","Female","University degree","UK","White",31,53,47,"Used","Used","Used","Never Used",44,47
"45-54","Female","Some college or university, no certificate or degree","UK","White",28,43,38,"Used","Used","Used","Never Used",37,36
"45-54","Male","Masters degree","UK","Asian",34,42,41,"Used","Never Used","Never Used","Never Used",41,47
"25-34","Male","Masters degree","UK","White",39,32,37,"Used","Used","Never Used","Never Used",39,40
"25-34","Female","University degree","UK","White",25,42,36,"Used","Used","Used","Never Used",35,52
"45-54","Female","Professional certificate/ diploma","UK","White",36,44,47,"Used","Used","Used","Never Used",44,48
"35-44","Male","Some college or university, no certificate or degree","UK","White",17,52,31,"Used","Used","Used","Never Used",38,55
"25-34","Female","Professional certificate/ diploma","Canada","White",38,36,49,"Used","Used","Used","Never Used",45,40
"35-44","Male","Professional certificate/ diploma","Canada","White",42,36,39,"Used","Used","Used","Never Used",31,47
"25-34","Female","University degree","UK","White",51,45,33,"Used","Used","Used","Never Used",44,55
"35-44","Female","Some college or university, no certificate or degree","USA","White",53,26,44,"Used","Used","Used","Used",50,29
"35-44","Female","University degree","UK","White",32,44,51,"Used","Never Used","Used","Never Used",45,39
"25-34","Female","Masters degree","UK","White",26,44,47,"Used","Used","Used","Never Used",36,39
"35-44","Female","Professional certificate/ diploma","UK","White",50,31,36,"Used","Never Used","Used","Never Used",29,35
"55-64","Male","Masters degree","UK","White",38,41,35,"Used","Used","Used","Never Used",41,45
"25-34","Female","University degree","UK","White",38,35,43,"Used","Used","Used","Never Used",43,43
"45-54","Male","Left school at 16 years","UK","White",32,52,46,"Used","Never Used","Never Used","Never Used",46,48
"55-64","Male","University degree","UK","White",31,48,49,"Used","Never Used","Used","Never Used",44,49
"45-54","Male","University degree","UK","White",25,44,42,"Used","Used","Never Used","Never Used",40,38
"45-54","Female","Left school at 17 years","UK","White",32,34,48,"Used","Never Used","Never Used","Never Used",45,40
"35-44","Male","Doctorate degree","UK","Asian",36,44,44,"Never Used","Never Used","Used","Never Used",44,47
"45-54","Female","Masters degree","UK","White",28,46,45,"Used","Never Used","Never Used","Never Used",49,38
"45-54","Female","Left school at 16 years","UK","White",45,42,55,"Used","Never Used","Never Used","Never Used",46,36
"45-54","Female","Left school at 16 years","UK","Other",22,39,46,"Used","Never Used","Used","Never Used",57,37
"35-44","Female","Left school at 18 years","Republic","White",33,36,44,"Used","Never Used","Used","Never Used",42,42
"35-44","Male","Masters degree","UK","White",35,41,43,"Used","Used","Used","Never Used",42,48
"25-34","Female","Masters degree","UK","Mixed-White/Asian",60,29,37,"Used","Used","Used","Never Used",47,44
"35-44","Female","Left school at 16 years","UK","White",21,50,52,"Used","Never Used","Never Used","Never Used",54,42
"45-54","Female","University degree","UK","White",34,38,52,"Used","Used","Never Used","Never Used",54,34
"45-54","Female","University degree","UK","White",25,50,45,"Used","Never Used","Used","Never Used",48,48
"55-64","Male","University degree","UK","White",31,34,48,"Used","Used","Used","Used",45,47
"45-54","Male","Left school at 16 years","UK","White",35,42,40,"Used","Used","Used","Never Used",49,42
"25-34","Female","University degree","UK","Asian",54,42,40,"Used","Never Used","Never Used","Never Used",49,55
"35-44","Female","Left school at 16 years","UK","White",28,44,46,"Used","Never Used","Used","Never Used",51,38
"35-44","Male","Left school at 17 years","UK","White",31,38,41,"Used","Used","Used","Never Used",45,37
"35-44","Male","Professional certificate/ diploma","UK","Black",21,48,54,"Used","Never Used","Never Used","Never Used",51,42
"45-54","Male","Professional certificate/ diploma","Canada","White",37,32,42,"Used","Used","Used","Never Used",35,43
"45-54","Female","University degree","UK","White",31,41,47,"Used","Used","Used","Never Used",56,38
"55-64","Male","Professional certificate/ diploma","UK","White",38,31,40,"Used","Used","Never Used","Never Used",40,45
"35-44","Male","Masters degree","UK","Black",30,43,48,"Used","Never Used","Never Used","Never Used",44,41
"35-44","Female","Professional certificate/ diploma","UK","White",35,32,44,"Used","Never Used","Never Used","Never Used",37,28
"45-54","Female","University degree","UK","White",28,52,52,"Used","Used","Used","Never Used",55,41
"35-44","Female","Some college or university, no certificate or degree","UK","White",33,48,49,"Used","Never Used","Used","Never Used",47,47
"35-44","Female","University degree","UK","White",41,28,35,"Used","Used","Used","Never Used",46,33
"25-34","Female","University degree","UK","White",31,29,37,"Used","Used","Used","Never Used",39,41
"25-34","Male","University degree","UK","White",29,46,47,"Used","Used","Used","Never Used",48,34
"18-24","Female","Some college or university, no certificate or degree","UK","White",59,30,46,"Used","Never Used","Never Used","Never Used",40,51
"35-44","Female","University degree","UK","Black",42,30,40,"Used","Never Used","Never Used","Never Used",45,37
"35-44","Female","Some college or university, no certificate or degree","UK","White",48,40,43,"Used","Used","Used","Never Used",50,44
"25-34","Male","Left school at 16 years","UK","White",26,47,47,"Used","Never Used","Used","Never Used",40,33
"35-44","Female","University degree","Australia","White",33,41,45,"Used","Never Used","Never Used","Never Used",41,44
"45-54","Female","Some college or university, no certificate or degree","UK","Black",31,36,44,"Used","Never Used","Never Used","Never Used",44,42
"45-54","Male","Masters degree","Other","White",46,45,44,"Used","Used","Used","Never Used",42,49
"35-44","Male","University degree","UK","Black",29,42,39,"Used","Never Used","Used","Never Used",54,40
"25-34","Female","University degree","New Zeala","White",38,40,48,"Used","Used","Used","Never Used",53,45
"25-34","Female","Some college or university, no certificate or degree","UK","White",53,40,43,"Used","Never Used","Used","Never Used",49,44
"25-34","Female","Doctorate degree","UK","White",37,42,49,"Used","Used","Used","Never Used",52,35
"45-54","Male","Masters degree","UK","White",33,38,52,"Used","Used","Never Used","Never Used",40,44
"18-24","Male","Some college or university, no certificate or degree","UK","White",50,31,27,"Used","Used","Used","Never Used",27,51
"25-34","Female","Professional certificate/ diploma","UK","Black",36,40,48,"Used","Never Used","Never Used","Never Used",40,39
"25-34","Female","University degree","UK","White",38,48,33,"Used","Never Used","Used","Never Used",41,37
"18-24","Female","Left school at 18 years","UK","White",32,40,41,"Used","Never Used","Used","Never Used",47,36
"45-54","Male","Left school at 16 years","UK","White",49,38,41,"Used","Used","Used","Used",44,44
"35-44","Male","Masters degree","UK","White",32,46,36,"Used","Used","Used","Never Used",48,58
"45-54","Female","Professional certificate/ diploma","UK","White",41,36,47,"Used","Used","Used","Never Used",40,43
"35-44","Female","University degree","UK","White",46,44,44,"Used","Never Used","Never Used","Never Used",44,54
"35-44","Female","Professional certificate/ diploma","UK","White",46,36,30,"Used","Never Used","Used","Never Used",48,30
"55-64","Female","University degree","UK","White",42,40,43,"Used","Used","Used","Never Used",51,49
"35-44","Female","University degree","UK","Other",34,36,38,"Used","Never Used","Never Used","Never Used",35,40
"35-44","Female","University degree","UK","White",50,40,49,"Used","Never Used","Never Used","Never Used",37,37
"45-54","Female","University degree","UK","White",44,33,41,"Used","Used","Used","Never Used",48,43
"35-44","Female","Professional certificate/ diploma","UK","White",40,39,37,"Used","Used","Used","Never Used",50,39
"45-54","Female","Professional certificate/ diploma","UK","White",39,44,48,"Used","Never Used","Used","Never Used",45,35
"25-34","Male","Doctorate degree","UK","White",24,37,48,"Used","Never Used","Never Used","Never Used",47,44
"35-44","Female","Some college or university, no certificate or degree","UK","White",39,45,47,"Used","Never Used","Never Used","Never Used",51,44
"18-24","Female","University degree","UK","White",54,37,48,"Used","Never Used","Used","Never Used",38,48
"55-64","Male","Left school at 18 years","UK","White",36,34,44,"Used","Never Used","Used","Never Used",47,39
"35-44","Female","University degree","Canada","White",39,44,41,"Used","Used","Never Used","Never Used",48,46
"35-44","Female","Masters degree","UK","White",29,49,53,"Used","Used","Used","Never Used",45,47
"55-64","Female","Left school at 16 years","UK","White",28,34,46,"Used","Used","Used","Never Used",50,32
"45-54","Female","Left school at 16 years","UK","White",40,30,40,"Used","Never Used","Used","Never Used",47,31
"18-24","Female","Masters degree","UK","White",32,40,47,"Used","Used","Used","Never Used",44,43
"55-64","Female","Professional certificate/ diploma","UK","White",23,40,40,"Used","Never Used","Never Used","Never Used",47,40
"18-24","Male","University degree","UK","Mixed-White/Asian",32,48,38,"Used","Used","Used","Never Used",47,38
"25-34","Female","Professional certificate/ diploma","Canada","White",28,38,38,"Used","Used","Used","Never Used",45,45
"45-54","Female","University degree","UK","White",39,32,43,"Used","Used","Never Used","Never Used",44,43
"25-34","Female","University degree","Canada","Mixed-White/Asian",27,48,45,"Used","Used","Never Used","Never Used",43,46
"55-64","Female","University degree","UK","White",42,42,48,"Used","Used","Used","Never Used",41,51
"18-24","Male","University degree","UK","Black",30,42,35,"Used","Never Used","Never Used","Never Used",51,42
"55-64","Female","University degree","UK","White",32,43,38,"Used","Never Used","Never Used","Never Used",37,41
"25-34","Female","Professional certificate/ diploma","UK","White",35,43,42,"Used","Used","Used","Never Used",48,50
"45-54","Female","Professional certificate/ diploma","UK","White",31,54,50,"Used","Used","Used","Never Used",54,51
"18-24","Female","University degree","UK","White",30,41,51,"Used","Never Used","Never Used","Never Used",50,40
"35-44","Male","Masters degree","UK","Other",34,33,50,"Used","Used","Used","Never Used",34,42
"35-44","Female","University degree","UK","White",29,48,49,"Used","Used","Used","Never Used",49,43
"65+","Male","Left school before 16 years","UK","White",22,32,37,"Used","Never Used","Used","Never Used",37,29
"25-34","Female","University degree","UK","White",34,46,44,"Used","Used","Used","Never Used",43,54
"35-44","Female","Left school at 16 years","UK","White",34,47,34,"Used","Never Used","Never Used","Never Used",37,48
"18-24","Female","University degree","UK","White",35,48,45,"Used","Never Used","Never Used","Never Used",44,50
"35-44","Female","Professional certificate/ diploma","UK","White",29,43,41,"Used","Used","Used","Never Used",47,42
"35-44","Female","University degree","UK","White",37,40,42,"Used","Used","Used","Never Used",41,45
"25-34","Male","Masters degree","UK","Asian",23,43,49,"Never Used","Never Used","Never Used","Never Used",40,53
"25-34","Female","Some college or university, no certificate or degree","UK","White",43,41,32,"Used","Never Used","Never Used","Never Used",43,36
"45-54","Female","Left school at 16 years","UK","White",29,36,48,"Used","Never Used","Never Used","Never Used",50,38
"25-34","Female","Professional certificate/ diploma","UK","White",37,44,46,"Used","Used","Used","Never Used",54,40
"45-54","Female","Professional certificate/ diploma","Republic","White",41,39,43,"Used","Never Used","Never Used","Never Used",49,37
"25-34","Female","Professional certificate/ diploma","UK","White",34,47,50,"Used","Used","Used","Never Used",51,49
"25-34","Female","University degree","Canada","White",51,38,39,"Used","Used","Used","Never Used",50,41
"25-34","Female","Professional certificate/ diploma","UK","White",38,47,42,"Used","Used","Used","Never Used",52,48
"35-44","Male","Professional certificate/ diploma","UK","White",48,45,29,"Used","Used","Used","Used",52,49
"25-34","Female","Masters degree","Other","White",39,47,47,"Used","Used","Used","Never Used",36,40
"35-44","Female","Some college or university, no certificate or degree","UK","White",32,36,44,"Used","Used","Used","Never Used",50,47
"18-24","Female","University degree","UK","White",44,38,43,"Used","Used","Used","Never Used",43,48
"25-34","Female","University degree","UK","White",34,43,48,"Used","Never Used","Used","Never Used",38,43
"35-44","Female","University degree","UK","White",33,44,44,"Used","Used","Used","Never Used",50,51
"55-64","Male","University degree","UK","White",25,47,48,"Used","Never Used","Used","Never Used",50,44
"45-54","Female","University degree","UK","White",31,49,47,"Used","Never Used","Never Used","Never Used",46,48
"35-44","Female","University degree","UK","White",24,44,44,"Used","Never Used","Used","Never Used",40,52
"45-54","Female","University degree","UK","White",31,43,51,"Used","Used","Used","Never Used",52,41
"18-24","Male","Some college or university, no certificate or degree","UK","White",38,46,46,"Used","Used","Used","Never Used",39,39
"45-54","Male","Masters degree","UK","White",29,42,41,"Used","Used","Used","Never Used",38,46
"45-54","Female","University degree","UK","White",26,49,52,"Used","Used","Never Used","Never Used",49,47
"35-44","Female","Professional certificate/ diploma","UK","White",46,23,45,"Used","Used","Used","Never Used",47,33
"65+","Female","Masters degree","UK","White",37,32,44,"Used","Never Used","Used","Never Used",40,43
"25-34","Female","University degree","UK","White",36,48,47,"Used","Never Used","Never Used","Never Used",44,46
"45-54","Male","University degree","UK","White",29,45,44,"Used","Never Used","Never Used","Never Used",49,36
"25-34","Female","University degree","UK","White",40,46,52,"Used","Used","Used","Never Used",37,46
"25-34","Female","Professional certificate/ diploma","UK","White",36,46,54,"Used","Never Used","Never Used","Never Used",56,37
"25-34","Female","Masters degree","UK","White",50,42,45,"Used","Never Used","Never Used","Never Used",46,45
"25-34","Female","Left school at 16 years","UK","White",45,39,50,"Used","Used","Used","Never Used",45,30
"18-24","Female","Left school at 18 years","UK","White",41,39,44,"Used","Never Used","Never Used","Never Used",39,41
"45-54","Female","Professional certificate/ diploma","UK","White",20,44,44,"Used","Never Used","Never Used","Never Used",53,51
"35-44","Female","Masters degree","UK","White",42,31,56,"Used","Never Used","Used","Never Used",53,46
"25-34","Female","Left school at 18 years","Other","White",55,31,34,"Used","Used","Used","Never Used",48,40
"18-24","Female","Some college or university, no certificate or degree","UK","White",50,29,35,"Used","Never Used","Used","Never Used",48,24
"25-34","Female","University degree","UK","White",30,47,48,"Used","Used","Used","Never Used",49,51
"35-44","Male","University degree","UK","White",54,29,20,"Used","Used","Never Used","Never Used",50,45
"25-34","Female","Some college or university, no certificate or degree","UK","White",33,33,31,"Used","Used","Used","Never Used",33,34
"25-34","Female","Professional certificate/ diploma","UK","White",49,35,37,"Used","Used","Used","Never Used",46,37
"45-54","Male","Masters degree","UK","White",27,38,52,"Used","Never Used","Never Used","Never Used",47,38
"45-54","Female","Doctorate degree","UK","White",16,41,53,"Used","Never Used","Never Used","Never Used",55,44
"45-54","Female","Professional certificate/ diploma","UK","White",47,42,49,"Used","Never Used","Used","Never Used",49,45
"45-54","Male","University degree","UK","White",31,41,51,"Used","Never Used","Never Used","Never Used",40,44
"35-44","Female","University degree","UK","White",42,33,47,"Used","Never Used","Never Used","Never Used",42,41
"18-24","Female","Masters degree","UK","White",23,46,54,"Used","Used","Used","Never Used",56,42
"45-54","Female","Doctorate degree","UK","White",28,41,48,"Used","Used","Used","Never Used",43,48
"25-34","Male","Professional certificate/ diploma","UK","White",49,35,40,"Used","Used","Used","Never Used",37,41
"35-44","Female","Masters degree","UK","White",25,51,47,"Used","Used","Used","Never Used",51,53
"18-24","Female","Some college or university, no certificate or degree","UK","White",31,44,48,"Used","Used","Never Used","Never Used",48,44
"35-44","Male","Doctorate degree","UK","White",36,40,40,"Used","Used","Used","Never Used",25,52
"65+","Male","Doctorate degree","UK","White",41,39,53,"Used","Never Used","Never Used","Never Used",33,43
"65+","Male","Professional certificate/ diploma","UK","White",26,38,47,"Used","Never Used","Never Used","Never Used",46,48
"45-54","Female","Professional certificate/ diploma","UK","White",31,46,42,"Used","Used","Never Used","Never Used",37,58
"55-64","Male","University degree","UK","White",29,37,41,"Used","Used","Used","Never Used",43,51
"45-54","Male","Masters degree","UK","Asian",27,45,44,"Used","Never Used","Never Used","Never Used",49,44
"55-64","Female","Left school before 16 years","UK","White",26,40,49,"Used","Never Used","Used","Never Used",53,46
"18-24","Female","University degree","UK","White",31,41,46,"Used","Used","Never Used","Never Used",47,46
"35-44","Female","University degree","UK","Black",33,40,42,"Used","Never Used","Never Used","Never Used",43,43
"55-64","Male","University degree","UK","White",25,39,47,"Used","Used","Used","Never Used",45,45
"35-44","Male","Professional certificate/ diploma","UK","Black",27,49,42,"Used","Never Used","Never Used","Never Used",40,37
"45-54","Female","Masters degree","UK","White",26,51,54,"Used","Used","Used","Never Used",46,50
"35-44","Female","Masters degree","UK","Black",27,41,43,"Used","Never Used","Never Used","Never Used",38,40
"45-54","Female","Masters degree","UK","White",17,53,47,"Used","Used","Never Used","Never Used",48,56
"45-54","Female","Masters degree","UK","White",43,35,31,"Used","Used","Used","Used",45,49
"55-64","Male","Doctorate degree","UK","White",26,40,42,"Used","Never Used","Used","Never Used",45,46
"25-34","Female","University degree","UK","White",38,41,44,"Used","Used","Used","Never Used",45,38
"35-44","Male","Masters degree","UK","White",38,46,46,"Used","Used","Used","Never Used",37,47
"35-44","Female","Masters degree","UK","White",40,37,52,"Used","Used","Used","Never Used",46,47
"55-64","Male","Doctorate degree","UK","White",27,43,38,"Used","Never Used","Used","Never Used",41,42
"25-34","Male","Some college or university, no certificate or degree","UK","White",26,49,41,"Used","Used","Used","Never Used",48,53
"45-54","Female","University degree","UK","White",33,37,42,"Used","Never Used","Never Used","Never Used",48,44
"45-54","Male","Masters degree","UK","White",24,45,45,"Used","Used","Used","Never Used",46,48
"55-64","Male","Masters degree","UK","White",35,41,35,"Used","Never Used","Used","Never Used",43,51
"45-54","Female","Some college or university, no certificate or degree","UK","White",36,38,41,"Used","Never Used","Never Used","Never Used",42,30
"45-54","Female","Masters degree","UK","White",35,40,48,"Used","Used","Never Used","Never Used",49,47
"45-54","Male","University degree","UK","White",27,50,47,"Used","Never Used","Never Used","Never Used",41,47
"35-44","Male","Professional certificate/ diploma","Other","White",25,34,44,"Used","Used","Used","Never Used",40,51
"35-44","Male","University degree","UK","White",27,48,44,"Used","Never Used","Used","Never Used",41,41
"45-54","Female","University degree","UK","White",38,30,41,"Used","Never Used","Never Used","Never Used",34,45
"45-54","Male","Masters degree","UK","White",39,42,35,"Used","Used","Never Used","Never Used",46,43
"25-34","Male","Some college or university, no certificate or degree","UK","White",42,42,42,"Used","Never Used","Used","Never Used",41,41
"25-34","Female","Masters degree","UK","White",19,44,49,"Used","Used","Used","Never Used",53,41
